pharmacy_name,address,pharmacy_id,location_id
ALBERANI,"VIA FARINI, 19",P0001,L0001
COMUNALE ANDREA COSTA,"VIA A. COSTA, 156/ 1°-2° - C.C. COOP°",P0002,L0002
NUOVA S. PIETRO,"VIA MASSARENTI, 223/ 5°",P0003,L0003
CARRACCI,VIA DE' CARRACCI 2-10/B,P0004,L0004
COMUNALE CAVAZZONI,"VIA CAVAZZONI, 2",P0005,L0005
COMUNALE TRIUMVIRATO,"VIA TRIUMVIRATO, 28",P0006,L0006
CROCE BIANCA,"VIA A.SAFFI, 18/3",P0007,L0007
DALLE DUE TORRI,"VIA S. VITALE, 2/d",P0008,L0008
DE PISIS,"VIA A. RUFFINI, 2/C",P0009,L0009
FERRARI,"VIA DAGNINI, 34/a-b",P0010,L0010
IPPODROMO ARCOVEGGIO,"VIA DI CORTICELLA, 180 - C.C. LA CORTE",P0011,L0011
IRNERIO,"VIA IRNERIO, 20",P0012,L0012
PONTEVECCHIO,"VIA E. LEVANTE, 29",P0013,L0013
S. ANTONIO,"VIA MASSARENTI, 108",P0014,L0014
S. GIORGIO,"VIA GARAVAGLIA, 6/b",P0015,L0015
S. PAOLO,"VIA COLLEGIO DI SPAGNA, 1/a",P0016,L0016
S. SALVATORE,"VIA PORTA NOVA, 2",P0017,L0017
COMUNALE DON STURZO,"VIA DON STURZO, 31",P0018,L0018
DI PORTA S.VITALE,"VIA S. VITALE, 126",P0019,L0019
S. SILVERIO DELLA CHIESANUOVA,"VIA MURRI, 191/c",P0020,L0020
COMUNALE FERRARESE,"VIA FERRARESE, 153/d-f",P0021,L0021
DEL RENO,"VIA EMILIA PONENTE, 156",P0022,L0022
DELLA CIRENAICA,"VIA BENTIVOGLI, 99/c",P0023,L0023
DELLA STAZIONE CENTRALE,"V.LE P. PIETRAMELLARA, 22/ab",P0024,L0024
DI CORTICELLA,"VIA G. BENTINI, 37",P0025,L0025
EMILIA,"VIA E. LEVANTE, 146",P0026,L0026
LAVINO DI MEZZO,"VIA M. E. LEPIDO, 222/ 2°",P0027,L0027
MARCO POLO,"VIA M. POLO, 22/A - Aldi supermercato",P0028,L0028
OBERDAN,"VIA ALTABELLA, 14",P0029,L0029
S. DONNINO,"VIA S.DONATO, 158",P0030,L0030
S. RITA,"VIA MASSARENTI, 179",P0031,L0031
SS. TRINITA`,"VIA S. STEFANO, 82",P0032,L0032
STADIO,"VIA A. COSTA, 84/b",P0033,L0033
TOSCHI,"VIA S. FELICE, 89",P0034,L0034
TRENTO TRIESTE,"P.ZZA TRENTO TRIESTE, 1/a",P0035,L0035
BELLESSERE,"VIA DEL PARCO, 1/ 2°",P0036,L0036
DA PORTA SARAGOZZA,"VIA SARAGOZZA, 71/c-e",P0037,L0037
S. ESTER,"VIA G. BENTINI, 11/a-b-c-d",P0038,L0038
AL PALAZZO DELLO SPORT,"VIA LAME, 52",P0039,L0039
BUSACCHI,"VIA EMILIA PONENTE, 24",P0040,L0040
CHILLEMI,"VIA BELLARIA, 36/d-e",P0041,L0041
COMUNALE CROCIONI,"VIA G. CROCIONI, 1/a",P0042,L0042
COMUNALE S. DONATO,"VIA S.DONATO, 99",P0043,L0043
COMUNALE TOSCANA,"VIA TOSCANA, 28",P0044,L0044
DEGLI ALEMANNI,"VIA MAZZINI, 9/a-b",P0045,L0045
GUANDALINI,"VIA FERRARESE, 12/a",P0046,L0046
PORTA MASCARELLA,"P.ZZA PORTA MASCARELLA, 7/a",P0047,L0047
S. ANDREA ALLA BARCA,"VIA TOMMASEO, 4/a",P0048,L0048
S. BENEDETTO,"VIA DELL` INDIPENDENZA, 54",P0049,L0049
S. DOMENICO,"VIA GARIBALDI, 1",P0050,L0050
S. MARTINO,"VIA F. ZANARDI, 184/a",P0051,L0051
VILLAGGIO PANIGALE,"VIA MARCO EMILIO LEPIDO, 186 - C.C. CENTROBORGO",P0052,L0052
ZARRI,"VIA U. BASSI, 1",P0053,L0053
COMUNALE STENDHAL,"VIA STENDHAL, 5/a",P0054,L0054
INTERNAZIONALE,"VIA GOITO, 8/B-C",P0055,L0055
S. MARIA DELLE GRAZIE,"VIA DEGLI ORTI, 68/d-e",P0056,L0056
BEATA VERGINE DI S. LUCA,"VIA D' AZEGLIO, 15",P0057,L0057
BERTELLI ALLA FUNIVIA,"VIA PORRETTANA, 95 f/g",P0058,L0058
CASTIGLIONE,"VIA CASTIGLIONE, 53",P0059,L0059
COMUNALE BARBIERI,"VIA F. BARBIERI, 121",P0060,L0060
COMUNALE REPUBBLICA,"VIA C. TOMBA, 29 - C.C. REPUBBLICA",P0061,L0061
DEL BORGO,"VIA M. E. LEPIDO, 147",P0062,L0062
DEL SOLE,"VIA L. PIRANDELLO, 22/a - C.C. PILASTRO",P0063,L0063
DELLA PROVVIDENZA,"VIA MASSARENTI, 254",P0064,L0064
DELLO STERLINO,"VIA MURRI, 16",P0065,L0065
FOSSOLO 2 - CENTRO COMM.LE,"VIALE LINCOLN, 5",P0066,L0066
LAFARMACIA.MATTEOTTI,"VIA MATTEOTTI, 29",P0067,L0067
LODI,"VIA A. COSTA, 47/a",P0068,L0068
S. LORENZO,"VIA U. BASSI, 25",P0069,L0069
S. LUCIA,"VIA BATTINDARNO, 139",P0070,L0070
COMUNALE MARZABOTTO,"VIA MARZABOTTO, 18",P0071,L0071
DEL CORSO,"VIA S. STEFANO, 38",P0072,L0072
DEL PILASTRO,"VIA G. DELEDDA, 26",P0073,L0073
CAMPO DEL MERCATO,"VIA A. RIGHI, 6/a",P0074,L0074
COMUNALE AZZURRA,"VIA AZZURRA, 52/ 2°",P0075,L0075
COMUNALE EMILIA PONENTE,"VIA EMILIA PONENTE, 258/b",P0076,L0076
DEL NAVILE,"VIA FIORAVANTI, 26",P0077,L0077
DEL PAVAGLIONE,"VIA ARCHIGINNASIO, 2/a",P0078,L0078
DEL PORTO,"VIA G. MARCONI, 45",P0079,L0079
DELLA BARCA,"PIAZZA BONAZZI, 1/g",P0080,L0080
DUE MADONNE,"VIA TACCONI, 2/b - VILLAGGIO DUE MADONNE",P0081,L0081
GRIMALDI,"VIA DI CORTICELLA, 184/ 3°",P0082,L0082
S. ISAIA,"VIA S. ISAIA, 2/a",P0083,L0083
S. MAMOLO,"VIA S. MAMOLO, 25/d",P0084,L0084
S. RUFFILLO,"VIA TOSCANA, 58",P0085,L0085
SIEPELUNGA,"VIA BORGHI MAMO, 6/b-c",P0086,L0086
TOSCHI 21 APRILE,"VIA M. BASTIA, 18",P0087,L0087
VITTORIA,"VIA ANDREINI, 32/m",P0088,L0088
COOPERATIVA,"VIA MARCO POLO, 3 - C.C. LAME",P0089,L0089
D'AZEGLIO,"VIA D` AZEGLIO, 88",P0090,L0090
DEI PINI,"VIA BARELLI, 4/d",P0091,L0091
AL VELODROMO,"VIA V. VENETO, 19",P0092,L0092
ANTICA DEI SERVI,"STRADA MAGGIORE, 39",P0093,L0093
COMUNALE ARNO,"VIA ARNO, 27",P0094,L0094
COMUNALE BATTINDARNO,"VIA BATTINDARNO, 28/a-b",P0095,L0095
COMUNALE MURRI,"VIA A. MURRI, 131/f",P0096,L0096
CONTAVALLI,"VIA MENTANA, 5",P0097,L0097
DELLA REGINA,"VIA N. SAURO, 11/a",P0098,L0098
DELLA SCALA,"VIA M. E. LEPIDO, 45",P0099,L0099
DI CASARALTA,"VIA FERRARESE, 66",P0100,L0100
MAZZINI,"VIA MAZZINI, 160",P0101,L0101
NUOVA S. RUFFILLO,"VIA TOSCANA, 121/ 2°",P0102,L0102
S. ANNA,"VIA DON G. MINZONI, 1",P0103,L0103
S. EGIDIO,"VIA S.DONATO, 66/ 2°",P0104,L0104
S. GIUSEPPE,"VIA SARAGOZZA, 105",P0105,L0105
SS. ANNUNZIATA,"VIA DEGLI OREFICI, 17",P0106,L0106
AICARDI,"VIA S. VITALE, 58",P0107,L0107
DR.MAX BO ORTI,"VIA DEGLI ORTI, 14/f-g",P0108,L0108
S. VIOLA,"VIA EMILIA PONENTE, 72/2° - C.C. ESSELUNGA",P0109,L0109
BETTINI,"VIA DI CORTICELLA, 68",P0110,L0110
