source_row,pharmacy_id,location_id,access_mode
6,P0001,L0001,C
7,P0002,L0002,P
8,P0003,L0003,P
10,P0004,L0004,P
11,P0005,L0005,P
12,P0006,L0006,P
13,P0007,L0007,P
14,P0008,L0008,P
15,P0009,L0009,P
16,P0010,L0010,P
17,P0011,L0011,P
18,P0012,L0012,P
19,P0013,L0013,P
20,P0014,L0014,P
21,P0015,L0015,P
22,P0016,L0016,P
23,P0017,L0017,C
26,P0018,L0018,P
27,P0019,L0019,P
28,P0020,L0020,P
30,P0021,L0021,P
31,P0022,L0022,P
32,P0023,L0023,P
33,P0024,L0024,P
34,P0025,L0025,P
35,P0026,L0026,P
36,P0027,L0027,P
37,P0028,L0028,P
38,P0029,L0029,P
39,P0030,L0030,P
40,P0031,L0031,P
41,P0032,L0032,P
42,P0033,L0033,P
43,P0034,L0034,P
44,P0035,L0035,P
47,P0036,L0036,P
48,P0037,L0037,P
49,P0038,L0038,P
51,P0039,L0039,P
52,P0040,L0040,P
53,P0041,L0041,P
54,P0042,L0042,P
55,P0043,L0043,P
56,P0044,L0044,P
57,P0045,L0045,P
58,P0046,L0046,P
59,P0047,L0047,P
60,P0048,L0048,P
61,P0049,L0049,P
62,P0050,L0050,P
63,P0051,L0051,P
64,P0052,L0052,C
65,P0053,L0053,P
68,P0054,L0054,P
69,P0055,L0055,P
70,P0056,L0056,P
72,P0057,L0057,P
73,P0058,L0058,P
74,P0059,L0059,P
75,P0060,L0060,P
76,P0061,L0061,P
77,P0062,L0062,P
78,P0063,L0063,P
79,P0064,L0064,P
80,P0065,L0065,P
81,P0066,L0066,P
82,P0067,L0067,P
83,P0068,L0068,P
84,P0069,L0069,P
85,P0070,L0070,C
88,P0071,L0071,P
89,P0072,L0072,P
90,P0073,L0073,P
92,P0074,L0074,P
93,P0075,L0075,P
94,P0076,L0076,P
95,P0077,L0077,P
96,P0078,L0078,P
97,P0079,L0079,P
98,P0080,L0080,P
99,P0081,L0081,P
100,P0082,L0082,P
101,P0083,L0083,P
102,P0084,L0084,P
103,P0085,L0085,P
104,P0086,L0086,P
105,P0087,L0087,P
106,P0088,L0088,P
109,P0089,L0089,P
110,P0090,L0090,P
111,P0091,L0091,P
113,P0092,L0092,P
114,P0093,L0093,P
115,P0094,L0094,P
116,P0095,L0095,P
117,P0096,L0096,P
118,P0097,L0097,P
119,P0098,L0098,P
120,P0099,L0099,P
121,P0100,L0100,P
122,P0101,L0101,P
123,P0102,L0102,P
124,P0103,L0103,P
125,P0104,L0104,P
126,P0105,L0105,P
127,P0106,L0106,P
130,P0107,L0107,P
131,P0108,L0108,P
132,P0109,L0109,P
134,P0110,L0110,P
135,P0111,L0111,P
136,P0112,L0112,P
137,P0113,L0113,P
138,P0114,L0114,P
139,P0115,L0115,P
140,P0116,L0116,P
141,P0117,L0117,P
