pharmacy_id,total_shifts,standard_shifts,h24_shifts
P0001,8,6,2
P0002,8,6,2
P0003,8,5,3
P0004,8,7,1
P0005,8,7,1
P0006,8,7,1
P0007,8,6,2
P0008,8,6,2
P0009,8,7,1
P0010,8,7,1
P0011,8,7,1
P0012,8,7,1
P0013,8,7,1
P0014,8,7,1
P0015,8,6,2
P0016,8,7,1
P0017,8,7,1
P0018,8,6,2
P0019,8,6,2
P0020,8,6,2
P0021,8,7,1
P0022,8,7,1
P0023,8,7,1
P0024,8,7,1
P0025,8,6,2
P0026,8,7,1
P0027,8,7,1
P0028,8,7,1
P0029,8,7,1
P0030,8,7,1
P0031,8,6,2
P0032,8,7,1
P0033,8,6,2
P0034,8,7,1
P0035,8,7,1
P0036,8,6,2
P0037,8,6,2
P0038,8,6,2
P0039,8,7,1
P0040,8,7,1
P0041,8,6,2
P0042,8,7,1
P0043,8,7,1
P0044,8,7,1
P0045,8,7,1
P0046,8,7,1
P0047,8,6,2
P0048,8,7,1
P0049,8,7,1
P0050,8,7,1
P0051,8,6,2
P0052,8,7,1
P0053,8,7,1
P0054,8,6,2
P0055,8,6,2
P0056,8,6,2
P0057,8,7,1
P0058,8,7,1
P0059,8,7,1
P0060,8,7,1
P0061,8,7,1
P0062,8,6,2
P0063,8,7,1
P0064,8,7,1
P0065,8,6,2
P0066,8,7,1
P0067,8,5,3
P0068,8,7,1
P0069,8,7,1
P0070,8,7,1
P0071,7,5,2
P0072,7,5,2
P0073,7,5,2
P0074,7,6,1
P0075,7,6,1
P0076,8,6,2
P0077,7,6,1
P0078,7,6,1
P0079,7,6,1
P0080,7,6,1
P0081,7,6,1
P0082,7,6,1
P0083,7,6,1
P0084,7,6,1
P0085,7,6,1
P0086,7,6,1
P0087,7,6,1
P0088,7,6,1
P0089,7,5,2
P0090,7,5,2
P0091,7,5,2
P0092,7,6,1
P0093,7,6,1
P0094,7,6,1
P0095,7,6,1
P0096,7,6,1
P0097,7,6,1
P0098,7,6,1
P0099,7,6,1
P0100,7,6,1
P0101,7,6,1
P0102,7,6,1
P0103,7,6,1
P0104,7,6,1
P0105,7,6,1
P0106,7,6,1
P0107,7,5,2
P0108,7,5,2
P0109,7,5,2
P0110,7,6,1
P0111,6,6,0
P0112,7,6,1
P0113,7,6,1
P0114,7,6,1
P0115,7,6,1
P0116,7,5,2
P0117,7,6,1
P0118,7,6,1
P0119,7,6,1
P0120,7,6,1
P0121,7,6,1
P0122,7,6,1
P0123,7,6,1
