source_row,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode
6,2026-W01,2025-12-29,2026-01-05,36,1,6,P0001,L0001,H24,C
7,2026-W01,2025-12-29,2026-01-05,36,1,6,P0002,L0002,H24,P
8,2026-W01,2025-12-29,2026-01-05,36,1,6,P0003,L0003,H24,P
10,2026-W01,2025-12-29,2026-01-05,36,1,6,P0004,L0004,STANDARD,P
11,2026-W01,2025-12-29,2026-01-05,36,1,6,P0005,L0005,STANDARD,P
12,2026-W01,2025-12-29,2026-01-05,36,1,6,P0006,L0006,STANDARD,P
13,2026-W01,2025-12-29,2026-01-05,36,1,6,P0007,L0007,STANDARD,P
14,2026-W01,2025-12-29,2026-01-05,36,1,6,P0008,L0008,STANDARD,P
15,2026-W01,2025-12-29,2026-01-05,36,1,6,P0009,L0009,STANDARD,P
16,2026-W01,2025-12-29,2026-01-05,36,1,6,P0010,L0010,STANDARD,P
17,2026-W01,2025-12-29,2026-01-05,36,1,6,P0011,L0011,STANDARD,P
18,2026-W01,2025-12-29,2026-01-05,36,1,6,P0012,L0012,STANDARD,P
19,2026-W01,2025-12-29,2026-01-05,36,1,6,P0013,L0013,STANDARD,P
20,2026-W01,2025-12-29,2026-01-05,36,1,6,P0014,L0014,STANDARD,P
21,2026-W01,2025-12-29,2026-01-05,36,1,6,P0015,L0015,STANDARD,P
22,2026-W01,2025-12-29,2026-01-05,36,1,6,P0016,L0016,STANDARD,P
23,2026-W01,2025-12-29,2026-01-05,36,1,6,P0017,L0017,STANDARD,C
26,2026-W02,2026-01-05,2026-01-12,37,2,6,P0018,L0018,H24,P
27,2026-W02,2026-01-05,2026-01-12,37,2,6,P0019,L0019,H24,P
28,2026-W02,2026-01-05,2026-01-12,37,2,6,P0020,L0020,H24,P
30,2026-W02,2026-01-05,2026-01-12,37,2,6,P0021,L0021,STANDARD,P
31,2026-W02,2026-01-05,2026-01-12,37,2,6,P0022,L0022,STANDARD,P
32,2026-W02,2026-01-05,2026-01-12,37,2,6,P0023,L0023,STANDARD,P
33,2026-W02,2026-01-05,2026-01-12,37,2,6,P0024,L0024,STANDARD,P
34,2026-W02,2026-01-05,2026-01-12,37,2,6,P0025,L0025,STANDARD,P
35,2026-W02,2026-01-05,2026-01-12,37,2,6,P0026,L0026,STANDARD,P
36,2026-W02,2026-01-05,2026-01-12,37,2,6,P0027,L0027,STANDARD,P
37,2026-W02,2026-01-05,2026-01-12,37,2,6,P0028,L0028,STANDARD,P
38,2026-W02,2026-01-05,2026-01-12,37,2,6,P0029,L0029,STANDARD,P
39,2026-W02,2026-01-05,2026-01-12,37,2,6,P0030,L0030,STANDARD,P
40,2026-W02,2026-01-05,2026-01-12,37,2,6,P0031,L0031,STANDARD,P
41,2026-W02,2026-01-05,2026-01-12,37,2,6,P0032,L0032,STANDARD,P
42,2026-W02,2026-01-05,2026-01-12,37,2,6,P0033,L0033,STANDARD,P
43,2026-W02,2026-01-05,2026-01-12,37,2,6,P0034,L0034,STANDARD,P
44,2026-W02,2026-01-05,2026-01-12,37,2,6,P0035,L0035,STANDARD,P
47,2026-W03,2026-01-12,2026-01-19,38,3,6,P0036,L0036,H24,P
48,2026-W03,2026-01-12,2026-01-19,38,3,6,P0037,L0037,H24,P
