event_id,nT,rotation_group,unavailable_pharmacy_id,group_size,secondary_eligible_candidate_from_history,candidate_modeled_constraints_pass,authorized_substitute_pharmacy_id,authorization_status,authorization_reason,approved_by,approval_reference
1:P0001,1,1,P0001,17,,False,,,,,
1:P0002,1,1,P0002,17,,False,,,,,
1:P0003,1,1,P0003,17,,False,,,,,
1:P0004,1,1,P0004,17,,False,,,,,
1:P0005,1,1,P0005,17,,False,,,,,
1:P0006,1,1,P0006,17,,False,,,,,
1:P0007,1,1,P0007,17,,False,,,,,
1:P0008,1,1,P0008,17,,False,,,,,
1:P0009,1,1,P0009,17,,False,,,,,
1:P0010,1,1,P0010,17,,False,,,,,
1:P0011,1,1,P0011,17,,False,,,,,
1:P0012,1,1,P0012,17,,False,,,,,
1:P0013,1,1,P0013,17,,False,,,,,
1:P0014,1,1,P0014,17,,False,,,,,
1:P0015,1,1,P0015,17,,False,,,,,
1:P0016,1,1,P0016,17,,False,,,,,
1:P0017,1,1,P0017,17,,False,,,,,
4:P0054,4,4,P0054,17,,False,,,,,
4:P0055,4,4,P0055,17,,False,,,,,
4:P0056,4,4,P0056,17,,False,,,,,
4:P0057,4,4,P0057,17,,False,,,,,
4:P0058,4,4,P0058,17,,False,,,,,
4:P0059,4,4,P0059,17,,False,,,,,
4:P0060,4,4,P0060,17,,False,,,,,
4:P0061,4,4,P0061,17,,False,,,,,
4:P0062,4,4,P0062,17,,False,,,,,
4:P0063,4,4,P0063,17,,False,,,,,
4:P0064,4,4,P0064,17,,False,,,,,
4:P0065,4,4,P0065,17,,False,,,,,
4:P0066,4,4,P0066,17,,False,,,,,
4:P0067,4,4,P0067,17,,False,,,,,
4:P0068,4,4,P0068,17,,False,,,,,
4:P0069,4,4,P0069,17,,False,,,,,
4:P0070,4,4,P0070,17,,False,,,,,
7:P0107,7,7,P0107,17,,False,,,,,
7:P0108,7,7,P0108,17,,False,,,,,
7:P0109,7,7,P0109,17,,False,,,,,
7:P0110,7,7,P0110,17,,False,,,,,
7:P0111,7,7,P0111,17,,False,,,,,
