assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000001,2026-W01,2025-12-29,2026-01-05,36,1,6,P0001,L0001,H24,C,optimized_fairness_aware
O000002,2026-W01,2025-12-29,2026-01-05,36,1,6,P0002,L0002,H24,P,optimized_fairness_aware
O000003,2026-W01,2025-12-29,2026-01-05,36,1,6,P0003,L0003,H24,P,optimized_fairness_aware
O000004,2026-W01,2025-12-29,2026-01-05,36,1,6,P0004,L0004,STANDARD,P,optimized_fairness_aware
O000005,2026-W01,2025-12-29,2026-01-05,36,1,6,P0005,L0005,STANDARD,P,optimized_fairness_aware
O000006,2026-W01,2025-12-29,2026-01-05,36,1,6,P0006,L0006,STANDARD,P,optimized_fairness_aware
O000007,2026-W01,2025-12-29,2026-01-05,36,1,6,P0007,L0007,STANDARD,P,optimized_fairness_aware
O000008,2026-W01,2025-12-29,2026-01-05,36,1,6,P0008,L0008,STANDARD,P,optimized_fairness_aware
O000009,2026-W01,2025-12-29,2026-01-05,36,1,6,P0009,L0009,STANDARD,P,optimized_fairness_aware
O000010,2026-W01,2025-12-29,2026-01-05,36,1,6,P0010,L0010,STANDARD,P,optimized_fairness_aware
O000011,2026-W01,2025-12-29,2026-01-05,36,1,6,P0011,L0011,STANDARD,P,optimized_fairness_aware
O000012,2026-W01,2025-12-29,2026-01-05,36,1,6,P0012,L0012,STANDARD,P,optimized_fairness_aware
O000013,2026-W01,2025-12-29,2026-01-05,36,1,6,P0013,L0013,STANDARD,P,optimized_fairness_aware
O000014,2026-W01,2025-12-29,2026-01-05,36,1,6,P0014,L0014,STANDARD,P,optimized_fairness_aware
O000015,2026-W01,2025-12-29,2026-01-05,36,1,6,P0015,L0015,STANDARD,P,optimized_fairness_aware
O000016,2026-W01,2025-12-29,2026-01-05,36,1,6,P0016,L0016,STANDARD,P,optimized_fairness_aware
O000017,2026-W01,2025-12-29,2026-01-05,36,1,6,P0017,L0017,STANDARD,C,optimized_fairness_aware
O000018,2026-W02,2026-01-05,2026-01-12,37,2,6,P0018,L0018,H24,P,optimized_fairness_aware
O000019,2026-W02,2026-01-05,2026-01-12,37,2,6,P0019,L0019,H24,P,optimized_fairness_aware
O000020,2026-W02,2026-01-05,2026-01-12,37,2,6,P0020,L0020,H24,P,optimized_fairness_aware
O000021,2026-W02,2026-01-05,2026-01-12,37,2,6,P0021,L0021,STANDARD,P,optimized_fairness_aware
O000022,2026-W02,2026-01-05,2026-01-12,37,2,6,P0022,L0022,STANDARD,P,optimized_fairness_aware
O000023,2026-W02,2026-01-05,2026-01-12,37,2,6,P0023,L0023,STANDARD,P,optimized_fairness_aware
O000024,2026-W02,2026-01-05,2026-01-12,37,2,6,P0024,L0024,STANDARD,P,optimized_fairness_aware
O000025,2026-W02,2026-01-05,2026-01-12,37,2,6,P0025,L0025,STANDARD,P,optimized_fairness_aware
O000026,2026-W02,2026-01-05,2026-01-12,37,2,6,P0026,L0026,STANDARD,P,optimized_fairness_aware
O000027,2026-W02,2026-01-05,2026-01-12,37,2,6,P0027,L0027,STANDARD,P,optimized_fairness_aware
O000028,2026-W02,2026-01-05,2026-01-12,37,2,6,P0028,L0028,STANDARD,P,optimized_fairness_aware
O000029,2026-W02,2026-01-05,2026-01-12,37,2,6,P0029,L0029,STANDARD,P,optimized_fairness_aware
O000030,2026-W02,2026-01-05,2026-01-12,37,2,6,P0030,L0030,STANDARD,P,optimized_fairness_aware
O000031,2026-W02,2026-01-05,2026-01-12,37,2,6,P0031,L0031,STANDARD,P,optimized_fairness_aware
O000032,2026-W02,2026-01-05,2026-01-12,37,2,6,P0032,L0032,STANDARD,P,optimized_fairness_aware
O000033,2026-W02,2026-01-05,2026-01-12,37,2,6,P0033,L0033,STANDARD,P,optimized_fairness_aware
O000034,2026-W02,2026-01-05,2026-01-12,37,2,6,P0034,L0034,STANDARD,P,optimized_fairness_aware
O000035,2026-W02,2026-01-05,2026-01-12,37,2,6,P0035,L0035,STANDARD,P,optimized_fairness_aware
O000036,2026-W03,2026-01-12,2026-01-19,38,3,6,P0036,L0036,H24,P,optimized_fairness_aware
